[INFO][2019-01-13 10:45:23,280] ironman登录认证成功！
[INFO][2019-01-13 10:45:49,712] ironman退出登录
[INFO][2019-01-13 10:47:10,071] ironman登录认证成功！
[INFO][2019-01-13 10:47:48,258] ironman退出登录
[INFO][2019-01-13 10:48:16,042] ironman登录认证成功！
[INFO][2019-01-13 10:49:19,733] ironman充值7元,余额9元
[INFO][2019-01-13 10:49:19,756] ironman新建流水记录：存钱 +7元
[INFO][2019-01-13 10:49:19,813] ironman购买商品，消费9元, 余额0元
[INFO][2019-01-13 10:49:19,841] ironman新建流水记录：购买商品-9元
[INFO][2019-01-13 10:49:27,453] ironman退出登录
[INFO][2019-01-13 10:49:41,959] ironman登录认证成功！
[INFO][2019-01-13 10:49:54,217] ironman退出登录
[INFO][2019-01-13 10:51:53,338] ironman登录认证成功！
[INFO][2019-01-13 10:52:20,829] ironman退出登录
[INFO][2019-01-13 10:52:38,812] ironman登录认证成功！
[INFO][2019-01-13 10:53:26,348] ironman退出登录
[INFO][2019-01-13 10:54:35,509] ironman登录认证成功！
[INFO][2019-01-13 10:54:57,690] ironman退出登录
[INFO][2019-01-13 10:57:24,811] ironman登录认证成功！
[INFO][2019-01-13 10:58:00,017] ironman退出登录
[INFO][2019-01-13 10:58:36,206] ironman登录认证成功！
[INFO][2019-01-13 10:59:04,733] ironman退出登录
